,QSO,z,DEC,RA,Date,File Paths
11,J134953+110115,2.697,+11:01:12.7,13:49:55.76,2003-12-20,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J134953+110115/Prochaska_20031220/J134953+110115_cont.fits
26,J101155+294141,2.62,+29:40:39.0,10:11:44.49,2008-02-28,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J101155+294141/Tytler_20080228/J101155+294141_cont.fits
36,J012020+132433,2.566031,+13:24:41.1,01:20:21.91,2003-12-20,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J012020+132433/Prochaska_20031220/J012020+132433_cont.fits
42,J234352+141014,2.916662,+14:10:33.5,23:43:52.39,2004-09-10,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J234352+141014/Prochaska_20040910/J234352+141014_cont.fits
54,J022517+004821,2.721135,+00:50:07.0,02:25:10.04,2008-01-04,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J022517+004821/Djorgovski_20080104/J022517+004821_cont.fits
55,J002801-104933,2.64891,-10:49:20.0,00:27:59.92,2008-07-04,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J002801-104933/Djorgovski_20080704/J002801-104933_cont.fits
61,J023408-075107,2.548073,-07:51:21.1,02:34:08.24,2004-09-10,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J023408-075107/Prochaska_20040910/J023408-075107_cont.fits
62,J144453+291905,2.638,+29:19:04.6,14:44:53.66,2012-03-17,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J144453+291905/Wolfe_20120317/J144453+291905_cont.fits
70,J153131+240333,2.525,+24:03:33.3,15:31:31.54,2013-03-09,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J153131+240333/Ge_20130308/J153131+240333_cont.fits
72,J220755+130009,2.84,+13:00:11.0,22:07:55.91,2008-06-05,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J220755+130009/Djorgovski_20080604/J220755+130009_cont.fits
86,J121922+002905,2.62954,+00:29:05.7,12:19:22.21,2012-04-25,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J121922+002905/Martin_20120425/J121922+002905_cont.fits
88,J000211-052908,2.8,-05:29:08.0,00:02:11.80,2011-10-26,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J000211-052908/Martin_20111025/J000211-052908_cont.fits
102,J025753-010452,2.562346,-01:04:54.7,02:57:53.66,2011-10-26,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J025753-010452/Martin_20111025/J025753-010452_cont.fits
114,J135044+595205,2.964431,+59:52:00.7,13:50:43.53,2008-05-08,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J135044+595205/Sargent_20080508/J135044+595205_cont.fits
119,J113130+604420,2.905892,+60:44:10.6,11:31:30.83,2006-03-05,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J113130+604420/Wolfe_20060305/J113130+604420_cont.fits
120,J222256-094636,2.92688,-09:46:48.2,22:22:55.55,2004-09-10,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J222256-094636/Prochaska_20040910/J222256-094636_cont.fits
127,J123840+343703,2.5772,+34:37:03.5,12:38:40.56,2008-03-05,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J123840+343703/Wolfe_20080305/J123840+343703_cont.fits
138,J131215+423900,2.572703,+42:39:07.7,13:12:15.18,2004-01-21,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J131215+423900/Cowie_20040120/J131215+423900_cont.fits
